id,rule_ids,section,parameter,shipped_value,alternatives_built,units,enforcement,notes
W-1,R53,duel math,round weights,"[78, 79, 81, 86, 100]",none,score units per round,enforced-by-system,"Fixed across treatments (R11); sum 424 (W-2)"
W-2,R53,duel math,weight sum (ratio denominator),424,none,score units,enforced-by-system,"Denominator of powerTransfer ratio = sqrt(min(score/424,1))"
W-3,R53,duel math,affinity multiplier,1.3,none,multiplier,enforced-by-system,"Applied per matching character, floor() after multiply; win or lose"
W-4,R53,duel math,power clamp,7x,none,ratio,enforced-by-system,"cp2>7*cp1 -> cp2=7*cp1 (and mirror); bounds single-duel extraction"
W-5,R55,floors,floor formula,2 x tier re-entry bonus,none,formula,held-as-policy,"ASSUMED hypothesis under test (R55); floor VALUES below are enforced"
W-6,R55,floors,T0 floor,50,none,C,enforced-by-system,"= 2 x 25C (W-21); min bracket stake = floor (W-74)"
W-7,R55,floors,T1 floor,50,none,C,enforced-by-system,"= 2 x 25C"
W-8,R55,floors,T2 floor,500,none,C,enforced-by-system,"= 2 x 250C"
W-9,R55,floors,T3 floor,500,none,C,enforced-by-system,"= 2 x 250C"
W-10,R55,floors,T4 floor,5000,none,C,enforced-by-system,"= 2 x 2,500C"
W-11,R55,floors,T5 floor,5000,none,C,enforced-by-system,"= 2 x 2,500C"
W-12,R55,floors,T6 floor,50000,none,C,enforced-by-system,"= 2 x 25,000C"
W-13,R62 R58,tier ladder,T6 prize payout method,"$999,999.92 CASH plus battle stake at 20:1",none,USD,enforced-by-system,"f3: now IMPLEMENTED as written (economy.js:bracketWinOutcome + tunables tierLadder.tiers[6].payout pays $999,999.92 CASH plus the champion stake at 20:1, no minted Cheddar). NOTE stands: 20,000,000C at 20:1 = $1,000,000.00 exactly; the stated $999,999.92 leaves $0.08 unexplained - open node P-T6-PAYOUT; both figures reproduced verbatim"
W-14,R62,tier ladder,T0 entry / prize,$10 / $20 (400C),none,USD / C,enforced-by-system,"TESTED as play economics in the slice (T0-T2)"
W-15,R62,tier ladder,T1 entry / prize,$25 / $25? see note,none,USD / C,enforced-by-system,"PRD lists 'T1 $25 (500C)': the single figure is the prize (500C = $25); entries beyond T0 are re-entry fees (W-22..) plus free first advance (R60)"
W-16,R62,tier ladder,T2 prize,$100 (2000C),none,USD / C,enforced-by-system,"TESTED (slice)"
W-17,R62,tier ladder,T3 prize,$500 (10000C),none,USD / C,enforced-by-system,ASSUMED (R62)
W-18,R62,tier ladder,T4 prize,"$10,000 (200,000C)",none,USD / C,enforced-by-system,ASSUMED
W-19,R62,tier ladder,T5 prize,"$100,000 (2,000,000C)",none,USD / C,enforced-by-system,ASSUMED
W-20,R62,tier ladder,T6 prize,"$1,000,000 (20,000,000C)",none,USD / C,enforced-by-system,"ASSUMED; payout method W-13"
W-21,R63,re-entry,T0 fee / bonus,$5.00 / +25C,none,USD / C,enforced-by-system,
W-22,R63,re-entry,T1 fee / bonus,$15.00 / +25C,none,USD / C,enforced-by-system,
W-23,R63,re-entry,T2 fee / bonus,$77.50 / +250C,none,USD / C,enforced-by-system,
W-24,R63,re-entry,T3 fee / bonus,$400 / +250C,none,USD / C,enforced-by-system,ASSUMED (T3-T6)
W-25,R63,re-entry,T4 fee / bonus,"$2,500 / +2,500C",none,USD / C,enforced-by-system,ASSUMED
W-26,R63,re-entry,T5 fee / bonus,"$12,500 / +2,500C",none,USD / C,enforced-by-system,ASSUMED
W-27,R63,re-entry,T6 fee / bonus,"$62,500 / +25,000C",none,USD / C,enforced-by-system,ASSUMED
W-28,R60 R63,re-entry,re-entry mechanism,"lose -> SITTING -> re-enter (pay fee, receive bonus) / cash out / sit free",none,rule,enforced-by-system,"Cash-out is the sole retirement path for a STAKE-HOLDING character; an emptied (0C) character retires to the ledger instead (R60 vs R61, CONFLICT-R60-R61 in the decision graph; f1 fixed the player-visible copy)"
W-29,R63,rakes,full play-through rake,6.3%,none,percent,held-as-policy,"Stated aggregate; not independently derivable from the fee table without a behavior model (node P-63-RAKE-DERIVATION); run report should state the realized rate beside it"
W-30,O2 R19,door arms,displayed entry price default,$10,"one under, one over, free-play control (door arms)",USD,enforced-by-system,"$10 is tie-holder (R22); gate cell is incumbent at $10 (R19)"
W-31,O1 R16,door arms,theme default,incumbent (Cheddar Battles),"adjacent = Scrapyard Kings, far = Undercard (docs/selection-rubric.md)",treatment,enforced-by-system,"Alternates switchable from console; brand acceptance gates publishing (A3)"
W-32,O3 R26,retention,legs hypothesis default,manifest order R26 (cards 1-6),"all six built, switchable",hypothesis,enforced-by-system,"f3: all-six-built VERIFIED against code (f2: engine/hypotheses.js + the console O3 radio switch; was a paper claim at t2 - C13). Each runs only in a later envelope (R6); briefs in docs/retention-manifest.md"
W-33,O5,timers,commit window,60,"45, 90",seconds,enforced-by-system,"Metric: hesitate rate <= 10% (W-68)"
W-34,O6,timers,lobby human wait,30,"60, 120",seconds,enforced-by-system,"Metric: lobby wait at equal human share (CB-BUILD-017/O6: default lowered 60->30, 60 moved to alternatives)"
W-35,O7 R80,sync,house-opponent fill,fill to 8,fill to 8 with >= 2 humans required,rule,enforced-by-system,"Collusion feasibility reads this (risk F-2)"
W-36,O8 R67,economy,Load Funds presets,"entry fee, 10x","entry fee, 5x; entry fee, 10x, 50x",presets,enforced-by-system,"Metric: bust-to-top-up median < 60s"
W-37,O9 R75,timers,reveal cadence,1170,"900, 1500",ms per round,enforced-by-system,"Whole duel under 45s (W-66); skippable after first full playthrough per session (W-76)"
W-38,O10 R72,narrator,temperature,0.7,"0.5, 0.9",temperature,enforced-by-system,"Metric: specificity-check pass rate"
W-39,R72,narrator,max tokens,200,none,tokens,enforced-by-system,"One call per duel at resolution"
W-40,O4,operations,run activation,console action per run,auto-start on delivery acceptance,rule,enforced-by-system,"Ours to flip (A3)"
W-41,R80,sync,NPC join delay,2-10,none,seconds,enforced-by-system,"Natural join pacing; NPCs always tagged (R86.8)"
W-42,R81,sync,NPC commit delay,10-45,none,seconds,enforced-by-system,
W-43,R80,sync,lobby countdown to board,30,none,seconds,enforced-by-system,
W-44,R81,sync,intermission,20-30,none,seconds,enforced-by-system,"f3: now actually WIRED into the duel flow between a won (non-bracket-completing) duel and the next (f2/A4: sync.js createIntermission/intermissionOver called from ui/screens/duel.js; was dead code at review)"
